Year,OilProductionInTWh,BarrelsDayEquiv
1909,3.11684,1833435.281
1909,0,0
1909,0,0
1909,0,0
1909,28.07482,16514599.88
1909,0,0
1909,4.652,2736470.569
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,289.43582,170256363.5
1909,289.34277,170201628.2
1909,0,0
1909,318.44104,187318257.5
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,2.18644,1286141.167
1909,0,0
1909,24.26018,14270694.02
1909,0,0
1909,15.77028,9276635.229
1909,0,0
1909,2.22133,1306664.697
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0.09304,54729.41138
1909,0,0
1909,0,0
1909,106.71688,62774634.85
1909,0,0
1909,0,0
1909,284.0395,167082057.7
1909,129.36049,76094405.35
1909,0,0
1909,471.31738,277245515.7
1909,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0.03489,20523.52927
1910,30.21474,17773376.35
1910,30.21474,17773376.35
1910,0,0
1910,0.02326,13682.35285
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0.48846,287329.4098
1910,2.23296,1313505.873
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,37.73935,22199617.49
1910,0,0
1910,0,0
1910,110.96183,65271664.25
1910,148.70117,87471275.86
1910,37.73935,22199617.49
1910,37.73935,22199617.49
1910,0,0
1910,0,0
1910,1.6282,957764.6992
1910,0,0
1910,0,0
1910,0,0
1910,350.98178,206459869.1
1910,0.03489,20523.52927
1910,9.51334,5596082.314
1910,17.71249,10419111.69
1910,0,0
1910,0,0
1910,0,0
1910,0.08141,47888.23496
1910,2.98891,1758182.341
1910,0,0
1910,0,0
1910,0,0
1910,27.22583,16015194.01
1910,0,0
1910,6.0476,3557411.74
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,331.73413,195137722.2
1910,331.4899,194994057.5
1910,0,0
1910,356.78513,209873604.4
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,1.95384,1149317.639
1910,0,0
1910,20.53858,12081517.56
1910,0,0
1910,15.43301,9078241.113
1910,0,0
1910,1.9887301,1169841.227
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0,0
1910,0.24423,143664.7049
1910,0,0
1910,0,0
1910,110.96183,65271664.25
1910,0,0
1910,0,0
1910,324.95383,191149310.4
1910,134.43118,79077164.15
1910,0,0
1910,512.6388,301552233.2
1910,0,0
1911,0.03489,20523.52927
1911,0.03489,20523.52927
1911,0,0
1911,0,0
1911,0,0
1911,0.02326,13682.35285
1911,33.20365,19531558.69
1911,32.69193,19230546.92
1911,0,0
1911,0.01163,6841.176423
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0.45357,266805.8805
1911,2.76794,1628199.989
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,37.59979,22117523.37
1911,0,0
1911,0.03489,20523.52927
1911,105.30965,61946852.51
1911,142.90944,84064375.88
1911,37.59979,22117523.37
1911,37.59979,22117523.37
1911,0,0
1911,0,0
1911,1.59331,937241.1699
1911,0,0
1911,0,0
1911,0,0
1911,364.72842,214546127.9
1911,0.02326,13682.35285
1911,10.0018,5883411.724
1911,19.43373,11431605.8
1911,0.51172,301011.7626
1911,0,0
1911,0,0
1911,0.1163,68411.76423
1911,3.2564,1915529.398
1911,0,0
1911,0,0
1911,0,0
1911,29.98214,17636552.82
1911,0,0
1911,21.79462,12820364.62
1911,0.51172,301011.7626
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,364.56558,214450339.7
1911,364.08878,214169869.1
1911,0,0
1911,386.04623,227086016.1
1911,0.51172,301011.7626
1911,0,0
1911,0,0
1911,0,0
1911,0.51172,301011.7626
1911,2.26785,1334029.402
1911,0,0
1911,16.95654,9974435.224
1911,0,0
1911,18.89875,11116911.69
1911,0,0
1911,2.29111,1347711.755
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0,0
1911,0.47683,280488.2333
1911,0,0
1911,0,0
1911,105.30965,61946852.51
1911,0,0
1911,0,0
1911,341.84058,201082692.7
1911,148.29413,87231840.57
1911,0,0
1911,543.0047,319414527.2
1911,0,0
1912,0.32564,191552.9398
1912,0.32564,191552.9398
1912,0,0
1912,0,0
1912,0,0
1912,0.08141,47888.23496
1912,32.4477,19086882.22
1912,31.49404,18525905.75
